GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
8f1c55f6-02ac-4359-832e-9bf263750cc1	1	3301765	62186114	33061	-0.0012
8f1c55f6-02ac-4359-832e-9bf263750cc1	1	62190512	62190838	2	-1.4328
8f1c55f6-02ac-4359-832e-9bf263750cc1	1	62196120	247650984	96697	0.002
8f1c55f6-02ac-4359-832e-9bf263750cc1	2	480597	186650440	100545	-0.0064
8f1c55f6-02ac-4359-832e-9bf263750cc1	2	186658804	186772859	62	0.4855
8f1c55f6-02ac-4359-832e-9bf263750cc1	2	186778679	241537572	31568	-0.0048
8f1c55f6-02ac-4359-832e-9bf263750cc1	3	2170634	197812401	107172	0.0017
8f1c55f6-02ac-4359-832e-9bf263750cc1	4	1059384	187842528	103467	0.0021
8f1c55f6-02ac-4359-832e-9bf263750cc1	5	914118	180934240	101114	0.0021
8f1c55f6-02ac-4359-832e-9bf263750cc1	6	1011760	34412942	20192	0.0037
8f1c55f6-02ac-4359-832e-9bf263750cc1	6	34414082	34418858	11	0.5693
8f1c55f6-02ac-4359-832e-9bf263750cc1	6	34424954	170596889	76941	0.0022
8f1c55f6-02ac-4359-832e-9bf263750cc1	7	664936	158592540	81920	0.003
8f1c55f6-02ac-4359-832e-9bf263750cc1	8	667625	108281609	60218	0.0005
8f1c55f6-02ac-4359-832e-9bf263750cc1	8	108282296	108290375	2	-1.4585
8f1c55f6-02ac-4359-832e-9bf263750cc1	8	108290864	144182542	21989	-0.0008
8f1c55f6-02ac-4359-832e-9bf263750cc1	9	789794	12705482	6440	-0.0011
8f1c55f6-02ac-4359-832e-9bf263750cc1	9	12706236	12707206	3	-1.2204
8f1c55f6-02ac-4359-832e-9bf263750cc1	9	12710342	138044505	62034	0.0004
8f1c55f6-02ac-4359-832e-9bf263750cc1	10	366509	23782981	16691	0.0013
8f1c55f6-02ac-4359-832e-9bf263750cc1	10	23785733	23787357	3	-2.335
8f1c55f6-02ac-4359-832e-9bf263750cc1	10	23791913	133411599	64579	0.0004
8f1c55f6-02ac-4359-832e-9bf263750cc1	11	456012	134272740	77563	-0.0002
8f1c55f6-02ac-4359-832e-9bf263750cc1	12	780472	132605822	74351	0.0015
8f1c55f6-02ac-4359-832e-9bf263750cc1	13	18874255	114226675	57002	0.0022
8f1c55f6-02ac-4359-832e-9bf263750cc1	14	20033191	99691454	47184	0.0024
8f1c55f6-02ac-4359-832e-9bf263750cc1	14	99694043	99696040	2	-1.3849
8f1c55f6-02ac-4359-832e-9bf263750cc1	14	99699409	105533894	2587	-0.0006
8f1c55f6-02ac-4359-832e-9bf263750cc1	15	23437561	101344124	44792	-0.0003
8f1c55f6-02ac-4359-832e-9bf263750cc1	16	603333	10696010	5441	-0.0044
8f1c55f6-02ac-4359-832e-9bf263750cc1	16	10698040	10700824	2	1.2432
8f1c55f6-02ac-4359-832e-9bf263750cc1	16	10701258	26271771	6524	-0.0009
8f1c55f6-02ac-4359-832e-9bf263750cc1	16	26273972	26277250	6	-0.8146
8f1c55f6-02ac-4359-832e-9bf263750cc1	16	26277929	89317317	29241	0.0009
8f1c55f6-02ac-4359-832e-9bf263750cc1	17	1074619	65775888	28398	0.0021
8f1c55f6-02ac-4359-832e-9bf263750cc1	17	65780578	65785497	9	-0.8858
8f1c55f6-02ac-4359-832e-9bf263750cc1	17	65792224	82959812	8872	-0.0001
8f1c55f6-02ac-4359-832e-9bf263750cc1	18	326691	79349796	42945	0.0021
8f1c55f6-02ac-4359-832e-9bf263750cc1	19	283868	58370362	24156	0.0034
8f1c55f6-02ac-4359-832e-9bf263750cc1	20	472817	18205362	11686	-0.0016
8f1c55f6-02ac-4359-832e-9bf263750cc1	20	18208737	18211607	3	1.2906
8f1c55f6-02ac-4359-832e-9bf263750cc1	20	18212609	63588502	25863	-0.0015
8f1c55f6-02ac-4359-832e-9bf263750cc1	21	13974127	46262057	20603	0.0009
8f1c55f6-02ac-4359-832e-9bf263750cc1	22	16934932	48940621	17090	-0.0058
8f1c55f6-02ac-4359-832e-9bf263750cc1	X	3236359	107679977	41718	-0.0059
8f1c55f6-02ac-4359-832e-9bf263750cc1	X	107680108	107684828	3	-3.1371
8f1c55f6-02ac-4359-832e-9bf263750cc1	X	107686102	155677414	22149	0.0028
