GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
78321897-ac93-43ed-82c0-26c1f472e9f1	1	3301765	151801287	68865	-0.0518
78321897-ac93-43ed-82c0-26c1f472e9f1	1	151803637	161976937	5673	0.0297
78321897-ac93-43ed-82c0-26c1f472e9f1	1	161978337	187487273	17050	0.0489
78321897-ac93-43ed-82c0-26c1f472e9f1	1	187487566	201708303	8444	0.0244
78321897-ac93-43ed-82c0-26c1f472e9f1	1	201708599	214938235	8824	-0.0411
78321897-ac93-43ed-82c0-26c1f472e9f1	1	214938351	214962409	22	0.4235
78321897-ac93-43ed-82c0-26c1f472e9f1	1	214965059	224326270	6054	-0.052
78321897-ac93-43ed-82c0-26c1f472e9f1	1	224328244	225511472	727	0.0605
78321897-ac93-43ed-82c0-26c1f472e9f1	1	225512091	226330001	353	-0.0673
78321897-ac93-43ed-82c0-26c1f472e9f1	1	226331116	239637621	9117	0.0378
78321897-ac93-43ed-82c0-26c1f472e9f1	1	239644620	242627703	2258	-0.0028
78321897-ac93-43ed-82c0-26c1f472e9f1	1	242628408	242628485	2	-1.3428
78321897-ac93-43ed-82c0-26c1f472e9f1	1	242632142	247650984	2388	0.0227
78321897-ac93-43ed-82c0-26c1f472e9f1	2	480597	30592132	18808	-0.044
78321897-ac93-43ed-82c0-26c1f472e9f1	2	30594530	30626477	16	-0.7002
78321897-ac93-43ed-82c0-26c1f472e9f1	2	30628580	191619252	84393	-0.0447
78321897-ac93-43ed-82c0-26c1f472e9f1	2	191620033	194854741	1342	-0.2373
78321897-ac93-43ed-82c0-26c1f472e9f1	2	195351205	235000053	23808	-0.046
78321897-ac93-43ed-82c0-26c1f472e9f1	2	235001157	235082810	4	-1.2215
78321897-ac93-43ed-82c0-26c1f472e9f1	2	235083104	241537572	3877	-0.0585
78321897-ac93-43ed-82c0-26c1f472e9f1	3	2170634	62769966	34935	-0.1389
78321897-ac93-43ed-82c0-26c1f472e9f1	3	62770083	83999151	13330	-0.0468
78321897-ac93-43ed-82c0-26c1f472e9f1	3	84000156	97296681	4662	-0.0725
78321897-ac93-43ed-82c0-26c1f472e9f1	3	97298324	197777615	54261	-0.0444
78321897-ac93-43ed-82c0-26c1f472e9f1	3	197781549	197812401	14	-0.2099
78321897-ac93-43ed-82c0-26c1f472e9f1	4	1059384	9767199	4398	-0.1231
78321897-ac93-43ed-82c0-26c1f472e9f1	4	9768524	58532153	28254	-0.1056
78321897-ac93-43ed-82c0-26c1f472e9f1	4	58532920	66807848	4501	-0.1307
78321897-ac93-43ed-82c0-26c1f472e9f1	4	66809817	124766900	32567	-0.0926
78321897-ac93-43ed-82c0-26c1f472e9f1	4	124769486	144786510	10587	-0.1077
78321897-ac93-43ed-82c0-26c1f472e9f1	4	144788010	144845388	21	-0.7412
78321897-ac93-43ed-82c0-26c1f472e9f1	4	144851195	148545200	2113	-0.1105
78321897-ac93-43ed-82c0-26c1f472e9f1	4	148545228	155664314	3910	-0.0876
78321897-ac93-43ed-82c0-26c1f472e9f1	4	155672936	155680797	3	0.8428
78321897-ac93-43ed-82c0-26c1f472e9f1	4	155680871	161507044	3452	-0.0761
78321897-ac93-43ed-82c0-26c1f472e9f1	4	161510989	187842528	13707	-0.1129
78321897-ac93-43ed-82c0-26c1f472e9f1	5	913983	7683001	4852	-0.0876
78321897-ac93-43ed-82c0-26c1f472e9f1	5	7683131	16777825	5656	-0.0434
78321897-ac93-43ed-82c0-26c1f472e9f1	5	16778458	32012997	8252	-0.0836
78321897-ac93-43ed-82c0-26c1f472e9f1	5	32013024	71484818	18615	-0.0524
78321897-ac93-43ed-82c0-26c1f472e9f1	5	71486139	75671561	2588	-0.0205
78321897-ac93-43ed-82c0-26c1f472e9f1	5	75671574	94871347	10457	-0.0585
78321897-ac93-43ed-82c0-26c1f472e9f1	5	94873803	98773054	2216	-0.019
78321897-ac93-43ed-82c0-26c1f472e9f1	5	98773325	122083217	12597	-0.0637
78321897-ac93-43ed-82c0-26c1f472e9f1	5	122085858	162203665	24644	-0.0409
78321897-ac93-43ed-82c0-26c1f472e9f1	5	162206597	176512311	9334	-0.0566
78321897-ac93-43ed-82c0-26c1f472e9f1	5	176513754	180934240	1935	-0.0744
78321897-ac93-43ed-82c0-26c1f472e9f1	6	1011760	46415681	27488	-0.0502
78321897-ac93-43ed-82c0-26c1f472e9f1	6	46416973	48069715	1150	0.0022
78321897-ac93-43ed-82c0-26c1f472e9f1	6	48069750	93737892	23829	-0.0524
78321897-ac93-43ed-82c0-26c1f472e9f1	6	93740564	93768888	25	0.4423
78321897-ac93-43ed-82c0-26c1f472e9f1	6	94556105	127654985	18508	-0.0521
78321897-ac93-43ed-82c0-26c1f472e9f1	6	127658831	151070404	14871	-0.0348
78321897-ac93-43ed-82c0-26c1f472e9f1	6	151070897	170596889	11305	-0.0559
78321897-ac93-43ed-82c0-26c1f472e9f1	7	664936	34443721	19235	0.5041
78321897-ac93-43ed-82c0-26c1f472e9f1	7	34446956	45095220	6460	0.4773
78321897-ac93-43ed-82c0-26c1f472e9f1	7	45095459	52572643	5361	0.5041
78321897-ac93-43ed-82c0-26c1f472e9f1	7	52572773	66079250	3122	0.4591
78321897-ac93-43ed-82c0-26c1f472e9f1	7	66079590	66102096	5	-0.3776
