GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-CM-4744-01A-01D-1405-02	chr1	17001	635000	13	-1.205948
TCGA-CM-4744-01A-01D-1405-02	chr1	701001	771000	3	-4.105872
TCGA-CM-4744-01A-01D-1405-02	chr1	777001	817000	33	-1.667625
TCGA-CM-4744-01A-01D-1405-02	chr1	818001	975000	150	-0.632557
TCGA-CM-4744-01A-01D-1405-02	chr1	975001	2776000	1621	-0.370571
TCGA-CM-4744-01A-01D-1405-02	chr1	2777001	5045000	2247	-0.192764
TCGA-CM-4744-01A-01D-1405-02	chr1	5045001	5053000	8	-1.149979
TCGA-CM-4744-01A-01D-1405-02	chr1	5053001	6295000	1238	-0.128329
TCGA-CM-4744-01A-01D-1405-02	chr1	6295001	6615000	320	-0.318322
TCGA-CM-4744-01A-01D-1405-02	chr1	6615001	7598000	982	-0.129949
TCGA-CM-4744-01A-01D-1405-02	chr1	7598001	7606000	8	-3.099813
TCGA-CM-4744-01A-01D-1405-02	chr1	7606001	12788000	5174	-0.178438
TCGA-CM-4744-01A-01D-1405-02	chr1	12788001	12901000	87	-0.681531
TCGA-CM-4744-01A-01D-1405-02	chr1	12907001	13057000	5	-2.205305
TCGA-CM-4744-01A-01D-1405-02	chr1	13057001	13314000	51	-0.339155
TCGA-CM-4744-01A-01D-1405-02	chr1	13315001	13366000	35	-1.892137
TCGA-CM-4744-01A-01D-1405-02	chr1	13366001	13790000	424	-0.230764
TCGA-CM-4744-01A-01D-1405-02	chr1	13790001	14382000	590	-0.109721
TCGA-CM-4744-01A-01D-1405-02	chr1	14382001	14389000	7	-1.815261
TCGA-CM-4744-01A-01D-1405-02	chr1	14389001	16507000	2111	-0.180235
TCGA-CM-4744-01A-01D-1405-02	chr1	16507001	16547000	37	-1.263890
TCGA-CM-4744-01A-01D-1405-02	chr1	16549001	16585000	16	-3.915375
TCGA-CM-4744-01A-01D-1405-02	chr1	16585001	16600000	9	-2.871932
TCGA-CM-4744-01A-01D-1405-02	chr1	16601001	16602000	1	-29.656755
TCGA-CM-4744-01A-01D-1405-02	chr1	16602001	16647000	44	-1.341910
TCGA-CM-4744-01A-01D-1405-02	chr1	16647001	16654000	7	-3.125612
TCGA-CM-4744-01A-01D-1405-02	chr1	16674001	16697000	13	-1.434092
TCGA-CM-4744-01A-01D-1405-02	chr1	16699001	16705000	2	-30.507276
TCGA-CM-4744-01A-01D-1405-02	chr1	16705001	16865000	59	-1.423314
TCGA-CM-4744-01A-01D-1405-02	chr1	16867001	16869000	2	-5.712660
TCGA-CM-4744-01A-01D-1405-02	chr1	16869001	16951000	81	-1.638213
TCGA-CM-4744-01A-01D-1405-02	chr1	16951001	33670000	16565	-0.155309
TCGA-CM-4744-01A-01D-1405-02	chr1	33670001	33678000	8	-3.786302
TCGA-CM-4744-01A-01D-1405-02	chr1	33678001	34093000	412	-0.070636
TCGA-CM-4744-01A-01D-1405-02	chr1	34093001	34096000	3	-29.396563
TCGA-CM-4744-01A-01D-1405-02	chr1	34098001	37080000	2968	-0.135224
TCGA-CM-4744-01A-01D-1405-02	chr1	37080001	37082000	2	-28.269908
TCGA-CM-4744-01A-01D-1405-02	chr1	37082001	37208000	126	-0.061953
TCGA-CM-4744-01A-01D-1405-02	chr1	37208001	37216000	8	-4.260164
TCGA-CM-4744-01A-01D-1405-02	chr1	37216001	41175000	3927	-0.157939
TCGA-CM-4744-01A-01D-1405-02	chr1	41175001	41183000	8	-3.268490
TCGA-CM-4744-01A-01D-1405-02	chr1	41183001	45181000	3980	-0.094051
TCGA-CM-4744-01A-01D-1405-02	chr1	45181001	45186000	5	-4.098710
TCGA-CM-4744-01A-01D-1405-02	chr1	45186001	45285000	98	-0.050703
TCGA-CM-4744-01A-01D-1405-02	chr1	45285001	45291000	6	-4.262819
TCGA-CM-4744-01A-01D-1405-02	chr1	45291001	46013000	719	-0.131787
TCGA-CM-4744-01A-01D-1405-02	chr1	46013001	46018000	5	-0.478079
TCGA-CM-4744-01A-01D-1405-02	chr1	46018001	47053000	1020	-0.134594
TCGA-CM-4744-01A-01D-1405-02	chr1	47053001	47057000	4	-3.612493
TCGA-CM-4744-01A-01D-1405-02	chr1	47057001	47167000	100	-0.350732
TCGA-CM-4744-01A-01D-1405-02	chr1	47167001	47172000	5	-3.257817
TCGA-CM-4744-01A-01D-1405-02	chr1	47172001	48277000	1098	-0.059153
TCGA-CM-4744-01A-01D-1405-02	chr1	48277001	48284000	7	-1.542982
TCGA-CM-4744-01A-01D-1405-02	chr1	48284001	52171000	3872	-0.049417
TCGA-CM-4744-01A-01D-1405-02	chr1	52171001	52179000	8	-3.026817
TCGA-CM-4744-01A-01D-1405-02	chr1	52179001	55562000	3374	-0.102171
TCGA-CM-4744-01A-01D-1405-02	chr1	55562001	55568000	6	-2.558792
TCGA-CM-4744-01A-01D-1405-02	chr1	55568001	58487000	2892	-0.037887
TCGA-CM-4744-01A-01D-1405-02	chr1	58487001	58495000	8	-3.209242
TCGA-CM-4744-01A-01D-1405-02	chr1	58495001	58957000	461	-0.018613
TCGA-CM-4744-01A-01D-1405-02	chr1	58957001	58965000	8	-3.398256
TCGA-CM-4744-01A-01D-1405-02	chr1	58965001	59252000	286	-0.003597
TCGA-CM-4744-01A-01D-1405-02	chr1	59252001	59257000	5	-3.337168
TCGA-CM-4744-01A-01D-1405-02	chr1	59257001	59533000	276	-0.023670
TCGA-CM-4744-01A-01D-1405-02	chr1	59533001	59541000	8	-2.186420
TCGA-CM-4744-01A-01D-1405-02	chr1	59541001	59583000	42	-0.060678
TCGA-CM-4744-01A-01D-1405-02	chr1	59583001	59593000	10	-2.785721
TCGA-CM-4744-01A-01D-1405-02	chr1	59593001	60490000	892	-0.016849
TCGA-CM-4744-01A-01D-1405-02	chr1	60490001	60496000	5	-3.044681
TCGA-CM-4744-01A-01D-1405-02	chr1	60496001	60772000	273	0.025549
TCGA-CM-4744-01A-01D-1405-02	chr1	60772001	60782000	10	-2.070231
TCGA-CM-4744-01A-01D-1405-02	chr1	60782001	62670000	1887	-0.077675
TCGA-CM-4744-01A-01D-1405-02	chr1	62670001	62671000	1	-28.958046
TCGA-CM-4744-01A-01D-1405-02	chr1	62671001	62698000	27	-0.077471
TCGA-CM-4744-01A-01D-1405-02	chr1	62698001	62705000	7	-4.467539
TCGA-CM-4744-01A-01D-1405-02	chr1	62705001	65450000	2734	-0.060312
TCGA-CM-4744-01A-01D-1405-02	chr1	65451001	65459000	8	-0.296946
TCGA-CM-4744-01A-01D-1405-02	chr1	65459001	65544000	85	-0.221993
