GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
25dfb308-0837-4399-ba56-bd0eaf1915e4	1	62920	7887213	3901	-0.0357
25dfb308-0837-4399-ba56-bd0eaf1915e4	1	7887886	7891686	2	-2.0578
25dfb308-0837-4399-ba56-bd0eaf1915e4	1	7892103	16544783	4721	-0.0231
25dfb308-0837-4399-ba56-bd0eaf1915e4	1	16569132	16934768	105	0.4791
25dfb308-0837-4399-ba56-bd0eaf1915e4	1	16935200	34637053	10217	-0.0256
25dfb308-0837-4399-ba56-bd0eaf1915e4	1	34637069	34638890	19	-1.8028
25dfb308-0837-4399-ba56-bd0eaf1915e4	1	34648667	38666761	2192	-0.034
25dfb308-0837-4399-ba56-bd0eaf1915e4	1	38669516	38669957	8	-1.3214
25dfb308-0837-4399-ba56-bd0eaf1915e4	1	38670057	53022198	7741	-0.024
25dfb308-0837-4399-ba56-bd0eaf1915e4	1	53022778	53024068	10	-0.9575
25dfb308-0837-4399-ba56-bd0eaf1915e4	1	53026932	64961923	8964	-0.032
25dfb308-0837-4399-ba56-bd0eaf1915e4	1	64963532	64964114	6	-1.329
25dfb308-0837-4399-ba56-bd0eaf1915e4	1	64964291	72302815	4779	-0.0348
25dfb308-0837-4399-ba56-bd0eaf1915e4	1	72303233	72345465	46	0.9248
25dfb308-0837-4399-ba56-bd0eaf1915e4	1	72346221	72357136	11	-0.6462
25dfb308-0837-4399-ba56-bd0eaf1915e4	1	72357153	86307363	9112	-0.0606
25dfb308-0837-4399-ba56-bd0eaf1915e4	1	86311139	86312583	2	-2.8903
25dfb308-0837-4399-ba56-bd0eaf1915e4	1	86314399	105476614	11775	-0.042
25dfb308-0837-4399-ba56-bd0eaf1915e4	1	105476688	105479753	15	1.2068
25dfb308-0837-4399-ba56-bd0eaf1915e4	1	105481433	108187137	1936	-0.0412
25dfb308-0837-4399-ba56-bd0eaf1915e4	1	108191613	108194874	3	-1.8971
25dfb308-0837-4399-ba56-bd0eaf1915e4	1	108196482	109690352	693	-0.0135
25dfb308-0837-4399-ba56-bd0eaf1915e4	1	109690415	109692006	9	-1.3557
25dfb308-0837-4399-ba56-bd0eaf1915e4	1	109696900	152582700	9544	-0.0023
25dfb308-0837-4399-ba56-bd0eaf1915e4	1	152583051	152614118	36	1.289
25dfb308-0837-4399-ba56-bd0eaf1915e4	1	152618018	152789447	167	0.0208
25dfb308-0837-4399-ba56-bd0eaf1915e4	1	152789463	152790593	19	0.6748
25dfb308-0837-4399-ba56-bd0eaf1915e4	1	152794991	155687178	1564	0.0163
25dfb308-0837-4399-ba56-bd0eaf1915e4	1	155691436	155693566	3	-2.5139
25dfb308-0837-4399-ba56-bd0eaf1915e4	1	155697170	196745692	27801	-0.0039
25dfb308-0837-4399-ba56-bd0eaf1915e4	1	196745743	196832525	58	-1.3673
25dfb308-0837-4399-ba56-bd0eaf1915e4	1	196832720	229675422	21750	0.0012
25dfb308-0837-4399-ba56-bd0eaf1915e4	1	229681109	229684449	3	-2.0199
25dfb308-0837-4399-ba56-bd0eaf1915e4	1	229684709	240228440	8087	-0.0033
25dfb308-0837-4399-ba56-bd0eaf1915e4	1	240230715	240230824	5	-1.8973
25dfb308-0837-4399-ba56-bd0eaf1915e4	1	240230839	248409535	5618	-0.0007
25dfb308-0837-4399-ba56-bd0eaf1915e4	1	248409836	248447206	18	1.0017
25dfb308-0837-4399-ba56-bd0eaf1915e4	1	248457862	248930189	199	0.0152
25dfb308-0837-4399-ba56-bd0eaf1915e4	2	12784	29418334	20600	-0.0031
25dfb308-0837-4399-ba56-bd0eaf1915e4	2	29419008	29420466	3	-6.8249
25dfb308-0837-4399-ba56-bd0eaf1915e4	2	29421019	29422071	8	-2.1394
25dfb308-0837-4399-ba56-bd0eaf1915e4	2	29423558	35750907	4334	0.0024
25dfb308-0837-4399-ba56-bd0eaf1915e4	2	35752724	35762850	6	-1.3899
25dfb308-0837-4399-ba56-bd0eaf1915e4	2	35762881	81583448	31014	0.01
25dfb308-0837-4399-ba56-bd0eaf1915e4	2	81585057	81589170	10	-2.0631
25dfb308-0837-4399-ba56-bd0eaf1915e4	2	81590015	106263639	10440	-0.0052
25dfb308-0837-4399-ba56-bd0eaf1915e4	2	106264257	106268901	11	-1.2037
25dfb308-0837-4399-ba56-bd0eaf1915e4	2	106270799	140792459	20507	-0.0025
25dfb308-0837-4399-ba56-bd0eaf1915e4	2	140792514	140799772	2	-2.4285
25dfb308-0837-4399-ba56-bd0eaf1915e4	2	140800456	146103818	3232	-0.0356
25dfb308-0837-4399-ba56-bd0eaf1915e4	2	146103836	146120964	34	0.7257
25dfb308-0837-4399-ba56-bd0eaf1915e4	2	146121077	174521448	17302	-0.0097
25dfb308-0837-4399-ba56-bd0eaf1915e4	2	174521945	174522133	2	-2.4075
25dfb308-0837-4399-ba56-bd0eaf1915e4	2	174526963	179196928	2894	0.0084
25dfb308-0837-4399-ba56-bd0eaf1915e4	2	179202465	179214417	3	-1.6525
25dfb308-0837-4399-ba56-bd0eaf1915e4	2	179218864	183732349	2893	-0.0072
25dfb308-0837-4399-ba56-bd0eaf1915e4	2	183738008	183738977	7	-2.1206
25dfb308-0837-4399-ba56-bd0eaf1915e4	2	183743192	184050173	181	-0.0403
25dfb308-0837-4399-ba56-bd0eaf1915e4	2	184059704	184060889	3	-1.7664
25dfb308-0837-4399-ba56-bd0eaf1915e4	2	184067669	192551889	4910	-0.0029
25dfb308-0837-4399-ba56-bd0eaf1915e4	2	192554386	192607380	24	0.8014
25dfb308-0837-4399-ba56-bd0eaf1915e4	2	192607499	242147305	30674	-0.0125
25dfb308-0837-4399-ba56-bd0eaf1915e4	3	20930	182919	151	-0.3728
25dfb308-0837-4399-ba56-bd0eaf1915e4	3	188339	191117	4	-2.3695
25dfb308-0837-4399-ba56-bd0eaf1915e4	3	193194	60337014	40714	-0.3356
25dfb308-0837-4399-ba56-bd0eaf1915e4	3	60337130	60337953	4	-2.4945
