GDC_Aliquot	Chromosome	Start	End	Copy_Number	Major_Copy_Number	Minor_Copy_Number
ebea1b5d-cd2b-47b9-92c8-641009739dfe	chr1	62920	30050222	3	2	1
ebea1b5d-cd2b-47b9-92c8-641009739dfe	chr1	30050560	30077068	2	1	1
ebea1b5d-cd2b-47b9-92c8-641009739dfe	chr1	30080695	46345091	3	2	1
ebea1b5d-cd2b-47b9-92c8-641009739dfe	chr1	46345170	46363431	1	1	0
ebea1b5d-cd2b-47b9-92c8-641009739dfe	chr1	46364105	93156311	2	2	0
ebea1b5d-cd2b-47b9-92c8-641009739dfe	chr1	93156577	209463726	3	2	1
ebea1b5d-cd2b-47b9-92c8-641009739dfe	chr1	209463751	209484551	2	1	1
ebea1b5d-cd2b-47b9-92c8-641009739dfe	chr1	209486789	248930189	4	2	2
ebea1b5d-cd2b-47b9-92c8-641009739dfe	chr2	12784	134741354	3	2	1
ebea1b5d-cd2b-47b9-92c8-641009739dfe	chr2	134744191	136287040	3	3	0
ebea1b5d-cd2b-47b9-92c8-641009739dfe	chr2	136287602	242147305	3	2	1
ebea1b5d-cd2b-47b9-92c8-641009739dfe	chr3	20930	36112491	3	2	1
ebea1b5d-cd2b-47b9-92c8-641009739dfe	chr3	36112516	36115371	1	1	0
ebea1b5d-cd2b-47b9-92c8-641009739dfe	chr3	36115599	98168199	3	2	1
ebea1b5d-cd2b-47b9-92c8-641009739dfe	chr3	98168651	99218940	3	3	0
ebea1b5d-cd2b-47b9-92c8-641009739dfe	chr3	99225614	99230464	0	0	0
ebea1b5d-cd2b-47b9-92c8-641009739dfe	chr3	99230470	99550187	3	3	0
ebea1b5d-cd2b-47b9-92c8-641009739dfe	chr3	99553149	198169247	3	2	1
ebea1b5d-cd2b-47b9-92c8-641009739dfe	chr4	68929	68478894	3	3	0
ebea1b5d-cd2b-47b9-92c8-641009739dfe	chr4	68494770	68591984	10	10	0
ebea1b5d-cd2b-47b9-92c8-641009739dfe	chr4	68592087	87251804	3	3	0
ebea1b5d-cd2b-47b9-92c8-641009739dfe	chr4	87252323	88663273	4	4	0
ebea1b5d-cd2b-47b9-92c8-641009739dfe	chr4	88666174	88702266	2	2	0
ebea1b5d-cd2b-47b9-92c8-641009739dfe	chr4	88702523	143643369	3	3	0
ebea1b5d-cd2b-47b9-92c8-641009739dfe	chr4	143646282	143762175	2	2	0
ebea1b5d-cd2b-47b9-92c8-641009739dfe	chr4	143762699	190106768	3	3	0
ebea1b5d-cd2b-47b9-92c8-641009739dfe	chr5	15532	823484	5	3	2
ebea1b5d-cd2b-47b9-92c8-641009739dfe	chr5	823655	1818882	6	4	2
