GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-AA-3966-01A-01D-A91W-36	chr1	17001	1693000	883	-0.117181
TCGA-AA-3966-01A-01D-A91W-36	chr1	1694001	1750000	30	-0.403360
TCGA-AA-3966-01A-01D-A91W-36	chr1	1752001	3082000	1207	-0.138014
TCGA-AA-3966-01A-01D-A91W-36	chr1	3082001	4576000	1478	-0.179779
TCGA-AA-3966-01A-01D-A91W-36	chr1	4576001	4746000	170	-0.234751
TCGA-AA-3966-01A-01D-A91W-36	chr1	4746001	4979000	233	-0.200235
TCGA-AA-3966-01A-01D-A91W-36	chr1	4979001	5854000	873	-0.173781
TCGA-AA-3966-01A-01D-A91W-36	chr1	5854001	6207000	351	-0.136753
TCGA-AA-3966-01A-01D-A91W-36	chr1	6207001	8161000	1952	-0.140020
TCGA-AA-3966-01A-01D-A91W-36	chr1	8161001	11367000	3200	-0.136126
TCGA-AA-3966-01A-01D-A91W-36	chr1	11367001	12162000	795	-0.154413
TCGA-AA-3966-01A-01D-A91W-36	chr1	12162001	12813000	650	-0.132602
TCGA-AA-3966-01A-01D-A91W-36	chr1	12813001	12887000	60	0.085261
TCGA-AA-3966-01A-01D-A91W-36	chr1	12888001	14934000	1658	-0.185768
TCGA-AA-3966-01A-01D-A91W-36	chr1	14934001	16487000	1548	-0.130216
TCGA-AA-3966-01A-01D-A91W-36	chr1	16487001	16632000	111	-0.085791
TCGA-AA-3966-01A-01D-A91W-36	chr1	16632001	16965000	192	-0.224206
TCGA-AA-3966-01A-01D-A91W-36	chr1	16965001	17784000	817	-0.163734
TCGA-AA-3966-01A-01D-A91W-36	chr1	17784001	18851000	1066	-0.191079
TCGA-AA-3966-01A-01D-A91W-36	chr1	18851001	23274000	4401	-0.143624
TCGA-AA-3966-01A-01D-A91W-36	chr1	23274001	29439000	6053	-0.137264
TCGA-AA-3966-01A-01D-A91W-36	chr1	29439001	30645000	1197	-0.199869
TCGA-AA-3966-01A-01D-A91W-36	chr1	30645001	30947000	302	-0.164842
TCGA-AA-3966-01A-01D-A91W-36	chr1	30947001	33590000	2636	-0.137476
TCGA-AA-3966-01A-01D-A91W-36	chr1	33590001	35075000	1469	-0.190096
TCGA-AA-3966-01A-01D-A91W-36	chr1	35075001	36706000	1629	-0.155641
TCGA-AA-3966-01A-01D-A91W-36	chr1	36706001	37349000	642	-0.196053
TCGA-AA-3966-01A-01D-A91W-36	chr1	37349001	39786000	2411	-0.162411
TCGA-AA-3966-01A-01D-A91W-36	chr1	39786001	41166000	1374	-0.135121
TCGA-AA-3966-01A-01D-A91W-36	chr1	41166001	42098000	926	-0.162938
TCGA-AA-3966-01A-01D-A91W-36	chr1	42098001	44709000	2602	-0.144777
TCGA-AA-3966-01A-01D-A91W-36	chr1	44709001	46863000	2143	-0.133834
TCGA-AA-3966-01A-01D-A91W-36	chr1	46863001	47019000	145	-0.142127
TCGA-AA-3966-01A-01D-A91W-36	chr1	47019001	47246000	217	-0.152118
TCGA-AA-3966-01A-01D-A91W-36	chr1	47246001	47624000	378	-0.139679
TCGA-AA-3966-01A-01D-A91W-36	chr1	47624001	50412000	2768	-0.165980
TCGA-AA-3966-01A-01D-A91W-36	chr1	50412001	54939000	4517	-0.143846
TCGA-AA-3966-01A-01D-A91W-36	chr1	54939001	55487000	547	-0.135505
TCGA-AA-3966-01A-01D-A91W-36	chr1	55487001	57698000	2201	-0.168651
TCGA-AA-3966-01A-01D-A91W-36	chr1	57698001	57919000	221	-0.170090
TCGA-AA-3966-01A-01D-A91W-36	chr1	57919001	58452000	516	-0.164697
TCGA-AA-3966-01A-01D-A91W-36	chr1	58452001	62914000	4450	-0.137111
TCGA-AA-3966-01A-01D-A91W-36	chr1	62914001	64402000	1480	-0.163653
TCGA-AA-3966-01A-01D-A91W-36	chr1	64402001	66360000	1944	-0.130423
TCGA-AA-3966-01A-01D-A91W-36	chr1	66360001	66475000	115	-0.131952
TCGA-AA-3966-01A-01D-A91W-36	chr1	66475001	67470000	982	-0.131199
TCGA-AA-3966-01A-01D-A91W-36	chr1	67470001	68295000	824	-0.121395
TCGA-AA-3966-01A-01D-A91W-36	chr1	68295001	72726000	4354	-0.152410
