GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-CM-6165-01A-11D-A91Y-36	chr1	17001	16605000	15172	0.000149
TCGA-CM-6165-01A-11D-A91Y-36	chr1	16605001	16647000	42	-0.053695
TCGA-CM-6165-01A-11D-A91Y-36	chr1	16647001	16654000	7	-1.135779
TCGA-CM-6165-01A-11D-A91Y-36	chr1	16674001	16949000	155	0.254953
TCGA-CM-6165-01A-11D-A91Y-36	chr1	16949001	21989000	5018	0.006247
TCGA-CM-6165-01A-11D-A91Y-36	chr1	21989001	22012000	22	-0.901219
TCGA-CM-6165-01A-11D-A91Y-36	chr1	22015001	122799000	97277	0.005781
TCGA-CM-6165-01A-11D-A91Y-36	chr1	122806001	122905000	16	-1.212028
TCGA-CM-6165-01A-11D-A91Y-36	chr1	122912001	122930000	5	0.735890
TCGA-CM-6165-01A-11D-A91Y-36	chr1	122933001	123361000	41	-0.105755
TCGA-CM-6165-01A-11D-A91Y-36	chr1	123372001	123391000	2	-4.240749
TCGA-CM-6165-01A-11D-A91Y-36	chr1	123393001	124062000	82	-0.676892
TCGA-CM-6165-01A-11D-A91Y-36	chr1	124068001	124097000	3	-1.682288
TCGA-CM-6165-01A-11D-A91Y-36	chr1	124098001	124271000	22	0.214931
TCGA-CM-6165-01A-11D-A91Y-36	chr1	124279001	124371000	19	-0.982896
TCGA-CM-6165-01A-11D-A91Y-36	chr1	124376001	124563000	36	-0.328643
TCGA-CM-6165-01A-11D-A91Y-36	chr1	124564001	124640000	21	-0.744617
TCGA-CM-6165-01A-11D-A91Y-36	chr1	124642001	124643000	1	-6.117070
TCGA-CM-6165-01A-11D-A91Y-36	chr1	124653001	124783000	39	-0.231869
TCGA-CM-6165-01A-11D-A91Y-36	chr1	124802001	143505000	327	-0.026658
TCGA-CM-6165-01A-11D-A91Y-36	chr1	143529001	144105000	245	-0.784507
TCGA-CM-6165-01A-11D-A91Y-36	chr1	144140001	234777000	85882	0.004622
TCGA-CM-6165-01A-11D-A91Y-36	chr1	234777001	234783000	6	0.096945
TCGA-CM-6165-01A-11D-A91Y-36	chr1	234783001	248931000	13871	0.000259
TCGA-CM-6165-01A-11D-A91Y-36	chr2	11001	89821000	87839	0.009607
TCGA-CM-6165-01A-11D-A91Y-36	chr2	89821001	89831000	10	-0.007847
TCGA-CM-6165-01A-11D-A91Y-36	chr2	89831001	242159000	145047	0.003543
TCGA-CM-6165-01A-11D-A91Y-36	chr3	12001	21211000	21082	-0.005728
TCGA-CM-6165-01A-11D-A91Y-36	chr3	21211001	21305000	91	0.555382
TCGA-CM-6165-01A-11D-A91Y-36	chr3	21305001	90889000	69006	-0.003591
TCGA-CM-6165-01A-11D-A91Y-36	chr3	90896001	91169000	8	-1.516369
TCGA-CM-6165-01A-11D-A91Y-36	chr3	91190001	100616000	7122	-0.013293
TCGA-CM-6165-01A-11D-A91Y-36	chr3	100616001	100727000	111	0.596588
TCGA-CM-6165-01A-11D-A91Y-36	chr3	100727001	128661000	27728	-0.002244
TCGA-CM-6165-01A-11D-A91Y-36	chr3	128661001	128696000	35	0.662656
TCGA-CM-6165-01A-11D-A91Y-36	chr3	128696001	198175000	68746	-0.003105
TCGA-CM-6165-01A-11D-A91Y-36	chr4	15001	8975000	8777	-0.020054
TCGA-CM-6165-01A-11D-A91Y-36	chr4	8975001	8999000	24	-1.015049
TCGA-CM-6165-01A-11D-A91Y-36	chr4	8999001	34778000	25332	-0.026814
TCGA-CM-6165-01A-11D-A91Y-36	chr4	34778001	34827000	49	-0.943480
TCGA-CM-6165-01A-11D-A91Y-36	chr4	34827001	49090000	14204	-0.021002
TCGA-CM-6165-01A-11D-A91Y-36	chr4	49090001	49658000	298	-0.129256
TCGA-CM-6165-01A-11D-A91Y-36	chr4	49709001	190119000	136887	-0.022120
TCGA-CM-6165-01A-11D-A91Y-36	chr4	190119001	190123000	4	-2.005073
TCGA-CM-6165-01A-11D-A91Y-36	chr4	190177001	190204000	4	0.103701
TCGA-CM-6165-01A-11D-A91Y-36	chr5	13001	49764000	45901	0.013366
TCGA-CM-6165-01A-11D-A91Y-36	chr5	49777001	49965000	16	-0.890520
TCGA-CM-6165-01A-11D-A91Y-36	chr5	49974001	50938000	809	0.000372
TCGA-CM-6165-01A-11D-A91Y-36	chr5	50938001	50944000	6	-9.162814
TCGA-CM-6165-01A-11D-A91Y-36	chr5	50944001	53571000	2615	0.019027
TCGA-CM-6165-01A-11D-A91Y-36	chr5	53571001	54671000	1097	0.020938
TCGA-CM-6165-01A-11D-A91Y-36	chr5	54671001	54740000	69	0.007164
TCGA-CM-6165-01A-11D-A91Y-36	chr5	54740001	54754000	14	0.001153
TCGA-CM-6165-01A-11D-A91Y-36	chr5	54754001	54896000	141	0.033076
TCGA-CM-6165-01A-11D-A91Y-36	chr5	54896001	54939000	43	0.013230
TCGA-CM-6165-01A-11D-A91Y-36	chr5	54939001	54953000	14	0.054121
TCGA-CM-6165-01A-11D-A91Y-36	chr5	54953001	56719000	1759	0.033007
TCGA-CM-6165-01A-11D-A91Y-36	chr5	56719001	57644000	920	0.030441
TCGA-CM-6165-01A-11D-A91Y-36	chr5	57644001	57886000	241	0.019064
TCGA-CM-6165-01A-11D-A91Y-36	chr5	57886001	58426000	523	0.018524
TCGA-CM-6165-01A-11D-A91Y-36	chr5	58426001	58605000	175	0.024521
TCGA-CM-6165-01A-11D-A91Y-36	chr5	58605001	58818000	212	0.026825
TCGA-CM-6165-01A-11D-A91Y-36	chr5	58818001	58860000	42	0.029309
TCGA-CM-6165-01A-11D-A91Y-36	chr5	58860001	60014000	1147	0.028410
TCGA-CM-6165-01A-11D-A91Y-36	chr5	60014001	62824000	2793	0.030172
TCGA-CM-6165-01A-11D-A91Y-36	chr5	62824001	62884000	59	0.015247
TCGA-CM-6165-01A-11D-A91Y-36	chr5	62884001	64944000	2045	0.006045
TCGA-CM-6165-01A-11D-A91Y-36	chr5	64944001	66305000	1351	0.036586
TCGA-CM-6165-01A-11D-A91Y-36	chr5	66305001	67125000	819	0.025721
TCGA-CM-6165-01A-11D-A91Y-36	chr5	67125001	67916000	782	0.026497
TCGA-CM-6165-01A-11D-A91Y-36	chr5	67916001	67991000	75	0.016018
TCGA-CM-6165-01A-11D-A91Y-36	chr5	67991001	69008000	1014	0.036042
TCGA-CM-6165-01A-11D-A91Y-36	chr5	69008001	69131000	123	0.033597
TCGA-CM-6165-01A-11D-A91Y-36	chr5	69131001	69452000	321	0.035101
TCGA-CM-6165-01A-11D-A91Y-36	chr5	69452001	71659000	395	0.039715
TCGA-CM-6165-01A-11D-A91Y-36	chr5	71659001	73325000	1663	0.035097
TCGA-CM-6165-01A-11D-A91Y-36	chr5	73325001	75846000	2512	0.043009
TCGA-CM-6165-01A-11D-A91Y-36	chr5	75846001	75869000	23	0.056234
TCGA-CM-6165-01A-11D-A91Y-36	chr5	75869001	76007000	138	0.041895
TCGA-CM-6165-01A-11D-A91Y-36	chr5	76007001	76127000	120	0.034925
TCGA-CM-6165-01A-11D-A91Y-36	chr5	76127001	77553000	1419	0.025919
TCGA-CM-6165-01A-11D-A91Y-36	chr5	77553001	77578000	25	0.022310
TCGA-CM-6165-01A-11D-A91Y-36	chr5	77578001	78795000	1212	0.029078
TCGA-CM-6165-01A-11D-A91Y-36	chr5	78795001	78819000	24	0.056287
TCGA-CM-6165-01A-11D-A91Y-36	chr5	78819001	79048000	225	0.042453
TCGA-CM-6165-01A-11D-A91Y-36	chr5	79048001	79117000	68	0.052709
TCGA-CM-6165-01A-11D-A91Y-36	chr5	79117001	81686000	2548	0.030916
TCGA-CM-6165-01A-11D-A91Y-36	chr5	81686001	81770000	84	0.024488
TCGA-CM-6165-01A-11D-A91Y-36	chr5	81770001	81798000	28	-0.000039
TCGA-CM-6165-01A-11D-A91Y-36	chr5	81798001	81855000	57	0.030446
TCGA-CM-6165-01A-11D-A91Y-36	chr5	81855001	84767000	2878	0.009585
TCGA-CM-6165-01A-11D-A91Y-36	chr5	84767001	84787000	20	-0.010124
TCGA-CM-6165-01A-11D-A91Y-36	chr5	84787001	85175000	388	-0.013121
TCGA-CM-6165-01A-11D-A91Y-36	chr5	85175001	86837000	1643	0.003407
TCGA-CM-6165-01A-11D-A91Y-36	chr5	86837001	89469000	2621	0.020170
TCGA-CM-6165-01A-11D-A91Y-36	chr5	89469001	89956000	487	0.005408
TCGA-CM-6165-01A-11D-A91Y-36	chr5	89956001	90883000	918	0.021410
TCGA-CM-6165-01A-11D-A91Y-36	chr5	90883001	92906000	2010	0.017005
TCGA-CM-6165-01A-11D-A91Y-36	chr5	92906001	93252000	341	0.002712
TCGA-CM-6165-01A-11D-A91Y-36	chr5	93252001	95427000	2170	0.011164
TCGA-CM-6165-01A-11D-A91Y-36	chr5	95427001	95624000	197	0.019540
TCGA-CM-6165-01A-11D-A91Y-36	chr5	95624001	95715000	91	0.034517
TCGA-CM-6165-01A-11D-A91Y-36	chr5	95715001	95862000	147	0.025261
TCGA-CM-6165-01A-11D-A91Y-36	chr5	95862001	96446000	581	0.041791
TCGA-CM-6165-01A-11D-A91Y-36	chr5	96446001	96599000	153	0.050809
TCGA-CM-6165-01A-11D-A91Y-36	chr5	96599001	98563000	1948	0.034710
TCGA-CM-6165-01A-11D-A91Y-36	chr5	98563001	99235000	669	0.049674
TCGA-CM-6165-01A-11D-A91Y-36	chr5	99235001	99261000	26	0.048639
TCGA-CM-6165-01A-11D-A91Y-36	chr5	99261001	99296000	35	0.015286
TCGA-CM-6165-01A-11D-A91Y-36	chr5	99296001	102241000	2811	0.007164
TCGA-CM-6165-01A-11D-A91Y-36	chr5	102241001	102654000	412	0.014808
TCGA-CM-6165-01A-11D-A91Y-36	chr5	102654001	102835000	178	0.015102
TCGA-CM-6165-01A-11D-A91Y-36	chr5	102835001	102905000	70	0.028474
TCGA-CM-6165-01A-11D-A91Y-36	chr5	102905001	109281000	6338	0.008023
TCGA-CM-6165-01A-11D-A91Y-36	chr5	109281001	109303000	22	-0.009299
TCGA-CM-6165-01A-11D-A91Y-36	chr5	109303001	110198000	892	0.020557
TCGA-CM-6165-01A-11D-A91Y-36	chr5	110198001	111050000	851	0.013093
TCGA-CM-6165-01A-11D-A91Y-36	chr5	111050001	112112000	1055	0.011197
TCGA-CM-6165-01A-11D-A91Y-36	chr5	112112001	112159000	47	0.017887
TCGA-CM-6165-01A-11D-A91Y-36	chr5	112159001	113059000	900	0.017234
TCGA-CM-6165-01A-11D-A91Y-36	chr5	113059001	114269000	1209	0.013404
TCGA-CM-6165-01A-11D-A91Y-36	chr5	114269001	114307000	38	0.017666
TCGA-CM-6165-01A-11D-A91Y-36	chr5	114307001	114324000	17	0.020848
TCGA-CM-6165-01A-11D-A91Y-36	chr5	114324001	114396000	71	0.014144
TCGA-CM-6165-01A-11D-A91Y-36	chr5	114396001	115116000	708	0.013845
TCGA-CM-6165-01A-11D-A91Y-36	chr5	115116001	116216000	1094	0.042192
TCGA-CM-6165-01A-11D-A91Y-36	chr5	116216001	116560000	342	0.020882
TCGA-CM-6165-01A-11D-A91Y-36	chr5	116560001	116612000	52	0.016996
TCGA-CM-6165-01A-11D-A91Y-36	chr5	116612001	117938000	1317	0.013517
TCGA-CM-6165-01A-11D-A91Y-36	chr5	117938001	117965000	27	0.000502
TCGA-CM-6165-01A-11D-A91Y-36	chr5	117965001	120477000	2493	0.017840
TCGA-CM-6165-01A-11D-A91Y-36	chr5	120477001	120523000	46	0.013335
TCGA-CM-6165-01A-11D-A91Y-36	chr5	120523001	121653000	1127	0.008406
TCGA-CM-6165-01A-11D-A91Y-36	chr5	121653001	121846000	192	-0.008689
TCGA-CM-6165-01A-11D-A91Y-36	chr5	121846001	123313000	1452	0.017920
TCGA-CM-6165-01A-11D-A91Y-36	chr5	123313001	123800000	487	0.040884
TCGA-CM-6165-01A-11D-A91Y-36	chr5	123800001	125620000	1814	0.028128
TCGA-CM-6165-01A-11D-A91Y-36	chr5	125620001	126173000	550	0.027152
TCGA-CM-6165-01A-11D-A91Y-36	chr5	126173001	126282000	109	0.038189
TCGA-CM-6165-01A-11D-A91Y-36	chr5	126282001	126329000	47	0.023812
TCGA-CM-6165-01A-11D-A91Y-36	chr5	126329001	127915000	1574	0.038524
TCGA-CM-6165-01A-11D-A91Y-36	chr5	127915001	128237000	319	0.046380
TCGA-CM-6165-01A-11D-A91Y-36	chr5	128237001	129174000	934	0.023119
TCGA-CM-6165-01A-11D-A91Y-36	chr5	129174001	129206000	32	0.015239
TCGA-CM-6165-01A-11D-A91Y-36	chr5	129206001	130191000	984	0.013427
TCGA-CM-6165-01A-11D-A91Y-36	chr5	130191001	132804000	2597	0.035852
TCGA-CM-6165-01A-11D-A91Y-36	chr5	132804001	133118000	313	0.038952
TCGA-CM-6165-01A-11D-A91Y-36	chr5	133118001	133506000	387	0.030172
TCGA-CM-6165-01A-11D-A91Y-36	chr5	133506001	133675000	161	0.029508
TCGA-CM-6165-01A-11D-A91Y-36	chr5	133675001	133917000	242	0.033232
TCGA-CM-6165-01A-11D-A91Y-36	chr5	133917001	134489000	572	0.041079
TCGA-CM-6165-01A-11D-A91Y-36	chr5	134489001	134570000	80	0.044358
TCGA-CM-6165-01A-11D-A91Y-36	chr5	134570001	135118000	547	0.032128
TCGA-CM-6165-01A-11D-A91Y-36	chr5	135118001	135131000	13	0.030608
TCGA-CM-6165-01A-11D-A91Y-36	chr5	135131001	135883000	747	0.039522
TCGA-CM-6165-01A-11D-A91Y-36	chr5	135883001	135990000	106	0.026230
TCGA-CM-6165-01A-11D-A91Y-36	chr5	135990001	136113000	123	0.033945
TCGA-CM-6165-01A-11D-A91Y-36	chr5	136113001	136208000	95	0.030187
