GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
0cf31e15-ddec-413b-a7b0-e9186f8d276d	1	3301765	247650984	129784	0.0191
0cf31e15-ddec-413b-a7b0-e9186f8d276d	2	480597	241537572	132236	0.0182
0cf31e15-ddec-413b-a7b0-e9186f8d276d	3	2170634	197812401	107212	0.0205
0cf31e15-ddec-413b-a7b0-e9186f8d276d	4	1059384	187842528	103520	0.0201
0cf31e15-ddec-413b-a7b0-e9186f8d276d	5	913983	157531282	86849	0.0172
0cf31e15-ddec-413b-a7b0-e9186f8d276d	5	157535061	157535393	3	-1.1054
0cf31e15-ddec-413b-a7b0-e9186f8d276d	5	157536002	169219717	7690	0.015
0cf31e15-ddec-413b-a7b0-e9186f8d276d	5	169220500	169220596	2	-1.6851
0cf31e15-ddec-413b-a7b0-e9186f8d276d	5	169222617	180934240	6604	0.0178
0cf31e15-ddec-413b-a7b0-e9186f8d276d	6	1011760	8304895	5417	0.0234
0cf31e15-ddec-413b-a7b0-e9186f8d276d	6	8305781	8307446	2	-1.4036
0cf31e15-ddec-413b-a7b0-e9186f8d276d	6	8312917	134375877	70066	0.0165
0cf31e15-ddec-413b-a7b0-e9186f8d276d	6	134376239	134376302	2	-1.3133
0cf31e15-ddec-413b-a7b0-e9186f8d276d	6	134376858	170596889	21721	0.0219
0cf31e15-ddec-413b-a7b0-e9186f8d276d	7	664936	158592540	81973	0.0195
0cf31e15-ddec-413b-a7b0-e9186f8d276d	8	667625	144182542	82247	0.0189
0cf31e15-ddec-413b-a7b0-e9186f8d276d	9	789794	138044505	68501	0.0188
0cf31e15-ddec-413b-a7b0-e9186f8d276d	10	366509	133411599	81312	0.0181
0cf31e15-ddec-413b-a7b0-e9186f8d276d	11	456012	4933377	1893	0.0201
0cf31e15-ddec-413b-a7b0-e9186f8d276d	11	4940288	4940679	5	0.9157
0cf31e15-ddec-413b-a7b0-e9186f8d276d	11	4940683	134272740	75701	0.0191
0cf31e15-ddec-413b-a7b0-e9186f8d276d	12	780472	132605822	74371	0.0166
0cf31e15-ddec-413b-a7b0-e9186f8d276d	13	18874255	25699721	3459	0.01
0cf31e15-ddec-413b-a7b0-e9186f8d276d	13	25700524	25702453	2	-1.8704
0cf31e15-ddec-413b-a7b0-e9186f8d276d	13	25704159	94164451	40454	0.0219
0cf31e15-ddec-413b-a7b0-e9186f8d276d	13	94171825	94172524	4	-1.188
0cf31e15-ddec-413b-a7b0-e9186f8d276d	13	94172768	114226675	13102	0.0185
0cf31e15-ddec-413b-a7b0-e9186f8d276d	14	20033191	105533894	49801	0.0172
0cf31e15-ddec-413b-a7b0-e9186f8d276d	15	23437561	43456106	10028	0.018
0cf31e15-ddec-413b-a7b0-e9186f8d276d	15	43458878	43467365	2	-1.5351
0cf31e15-ddec-413b-a7b0-e9186f8d276d	15	43467576	70148910	16721	0.0234
0cf31e15-ddec-413b-a7b0-e9186f8d276d	15	70151862	70153097	2	1.2311
0cf31e15-ddec-413b-a7b0-e9186f8d276d	15	70153347	101344124	18048	0.015
0cf31e15-ddec-413b-a7b0-e9186f8d276d	16	603333	89317317	41220	0.0177
0cf31e15-ddec-413b-a7b0-e9186f8d276d	17	1074619	31579518	11707	0.017
0cf31e15-ddec-413b-a7b0-e9186f8d276d	17	31581652	31583209	2	-1.7042
0cf31e15-ddec-413b-a7b0-e9186f8d276d	17	31583817	64867438	16141	0.0162
0cf31e15-ddec-413b-a7b0-e9186f8d276d	17	64929599	64929920	2	1.2296
0cf31e15-ddec-413b-a7b0-e9186f8d276d	17	64930571	82582848	9236	0.0193
0cf31e15-ddec-413b-a7b0-e9186f8d276d	17	82582967	82583094	3	-1.1851
0cf31e15-ddec-413b-a7b0-e9186f8d276d	17	82584781	82959812	198	0.0356
0cf31e15-ddec-413b-a7b0-e9186f8d276d	18	326691	24941891	10485	0.0214
0cf31e15-ddec-413b-a7b0-e9186f8d276d	18	24942135	24945267	2	-1.3262
0cf31e15-ddec-413b-a7b0-e9186f8d276d	18	24947237	52139781	17054	0.0141
0cf31e15-ddec-413b-a7b0-e9186f8d276d	18	52142894	52146071	3	-1.3949
0cf31e15-ddec-413b-a7b0-e9186f8d276d	18	52148786	53356563	826	0.0211
0cf31e15-ddec-413b-a7b0-e9186f8d276d	18	53360740	53360757	2	-1.1526
0cf31e15-ddec-413b-a7b0-e9186f8d276d	18	53362624	64139400	7029	0.0212
0cf31e15-ddec-413b-a7b0-e9186f8d276d	18	64142171	64142688	2	-1.2308
0cf31e15-ddec-413b-a7b0-e9186f8d276d	18	64142778	79349796	7567	0.0178
0cf31e15-ddec-413b-a7b0-e9186f8d276d	19	283868	33716674	13288	0.0107
0cf31e15-ddec-413b-a7b0-e9186f8d276d	19	33719846	33743664	33	0.6854
0cf31e15-ddec-413b-a7b0-e9186f8d276d	19	33746438	58370362	10824	0.0136
0cf31e15-ddec-413b-a7b0-e9186f8d276d	20	472817	42530501	23473	0.0177
0cf31e15-ddec-413b-a7b0-e9186f8d276d	20	42664160	42666675	3	-1.2912
0cf31e15-ddec-413b-a7b0-e9186f8d276d	20	42669053	63588502	14098	0.0165
0cf31e15-ddec-413b-a7b0-e9186f8d276d	21	13974127	27608469	8775	0.0245
0cf31e15-ddec-413b-a7b0-e9186f8d276d	21	27617931	27622854	5	-1.0498
0cf31e15-ddec-413b-a7b0-e9186f8d276d	21	27626244	46262057	11826	0.0163
0cf31e15-ddec-413b-a7b0-e9186f8d276d	22	16934932	18102298	744	0.0071
0cf31e15-ddec-413b-a7b0-e9186f8d276d	22	18103221	18112195	6	-0.909
0cf31e15-ddec-413b-a7b0-e9186f8d276d	22	18112586	33872657	6963	0.0139
0cf31e15-ddec-413b-a7b0-e9186f8d276d	22	33873196	33873343	2	-1.2893
0cf31e15-ddec-413b-a7b0-e9186f8d276d	22	33873503	46481341	7425	0.0136
0cf31e15-ddec-413b-a7b0-e9186f8d276d	22	46481492	46482140	2	-1.3939
0cf31e15-ddec-413b-a7b0-e9186f8d276d	22	46482141	48940621	1950	0.0133
0cf31e15-ddec-413b-a7b0-e9186f8d276d	X	3236359	9527419	1430	0.0286
0cf31e15-ddec-413b-a7b0-e9186f8d276d	X	9530826	9530998	4	-0.8746
