GDC_Aliquot	Chromosome	Start	End	Copy_Number	Major_Copy_Number	Minor_Copy_Number
e8be7738-8e10-40a0-bfbb-839f16f31b95	chr1	61735	121741181	4	2	2
e8be7738-8e10-40a0-bfbb-839f16f31b95	chr1	143285278	248930189	5	3	2
e8be7738-8e10-40a0-bfbb-839f16f31b95	chr2	12784	242147305	5	3	2
e8be7738-8e10-40a0-bfbb-839f16f31b95	chr3	18667	60750311	5	3	2
e8be7738-8e10-40a0-bfbb-839f16f31b95	chr3	60751133	61027075	2	2	0
e8be7738-8e10-40a0-bfbb-839f16f31b95	chr3	61027788	134525772	5	3	2
e8be7738-8e10-40a0-bfbb-839f16f31b95	chr3	134528174	183140499	6	3	3
e8be7738-8e10-40a0-bfbb-839f16f31b95	chr3	183141565	198169247	5	3	2
e8be7738-8e10-40a0-bfbb-839f16f31b95	chr4	12281	190106768	4	2	2
e8be7738-8e10-40a0-bfbb-839f16f31b95	chr5	15532	13984051	4	3	1
e8be7738-8e10-40a0-bfbb-839f16f31b95	chr5	13984196	177933867	4	2	2
e8be7738-8e10-40a0-bfbb-839f16f31b95	chr5	177950647	181363319	6	3	3
e8be7738-8e10-40a0-bfbb-839f16f31b95	chr6	149661	162182254	4	2	2
e8be7738-8e10-40a0-bfbb-839f16f31b95	chr6	162182286	162804123	2	1	1
e8be7738-8e10-40a0-bfbb-839f16f31b95	chr6	162805795	170741917	4	2	2
e8be7738-8e10-40a0-bfbb-839f16f31b95	chr7	43259	4526963	6	3	3
e8be7738-8e10-40a0-bfbb-839f16f31b95	chr7	4526977	95516244	7	5	2
e8be7738-8e10-40a0-bfbb-839f16f31b95	chr7	95516695	159334314	5	3	2
e8be7738-8e10-40a0-bfbb-839f16f31b95	chr8	81254	37886003	4	2	2
e8be7738-8e10-40a0-bfbb-839f16f31b95	chr8	37886441	145072769	5	3	2
e8be7738-8e10-40a0-bfbb-839f16f31b95	chr9	46587	3135193	10	6	4
e8be7738-8e10-40a0-bfbb-839f16f31b95	chr9	3137759	5845546	9	5	4
e8be7738-8e10-40a0-bfbb-839f16f31b95	chr9	5846188	42995504	7	4	3
e8be7738-8e10-40a0-bfbb-839f16f31b95	chr9	60840363	138200944	5	4	1
e8be7738-8e10-40a0-bfbb-839f16f31b95	chr10	26823	38253428	6	3	3
e8be7738-8e10-40a0-bfbb-839f16f31b95	chr10	38253960	75885936	4	2	2
e8be7738-8e10-40a0-bfbb-839f16f31b95	chr10	75886795	76361392	2	2	0
e8be7738-8e10-40a0-bfbb-839f16f31b95	chr10	76374773	133769379	5	3	2
e8be7738-8e10-40a0-bfbb-839f16f31b95	chr11	198572	135074876	4	2	2
e8be7738-8e10-40a0-bfbb-839f16f31b95	chr12	51460	10994419	6	4	2
e8be7738-8e10-40a0-bfbb-839f16f31b95	chr12	10999430	133201603	4	2	2
e8be7738-8e10-40a0-bfbb-839f16f31b95	chr13	18452809	114342922	11	9	2
e8be7738-8e10-40a0-bfbb-839f16f31b95	chr14	18225647	106877229	2	2	0
