GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
4fd7515b-03d6-4df3-9218-5102c294b45c	1	62920	864083	47	0.2556
4fd7515b-03d6-4df3-9218-5102c294b45c	1	864351	31148580	16974	-0.1337
4fd7515b-03d6-4df3-9218-5102c294b45c	1	31150820	31152499	2	-2.4834
4fd7515b-03d6-4df3-9218-5102c294b45c	1	31152542	38386328	3989	-0.1347
4fd7515b-03d6-4df3-9218-5102c294b45c	1	38392489	38396462	2	2.0947
4fd7515b-03d6-4df3-9218-5102c294b45c	1	38400444	58585984	12273	-0.1268
4fd7515b-03d6-4df3-9218-5102c294b45c	1	58591260	105593117	30551	-0.1829
4fd7515b-03d6-4df3-9218-5102c294b45c	1	105593285	105594291	4	1.5003
4fd7515b-03d6-4df3-9218-5102c294b45c	1	105596841	119556421	9239	-0.1888
4fd7515b-03d6-4df3-9218-5102c294b45c	1	119559935	121705338	441	-0.1182
4fd7515b-03d6-4df3-9218-5102c294b45c	1	143459641	152789918	2651	0.3098
4fd7515b-03d6-4df3-9218-5102c294b45c	1	152789962	152806050	33	0.7907
4fd7515b-03d6-4df3-9218-5102c294b45c	1	152806082	192928879	26871	0.3012
4fd7515b-03d6-4df3-9218-5102c294b45c	1	192941649	193422247	408	0.0974
4fd7515b-03d6-4df3-9218-5102c294b45c	1	193423184	199138574	3631	0.3065
4fd7515b-03d6-4df3-9218-5102c294b45c	1	199142235	199143343	6	-0.9364
4fd7515b-03d6-4df3-9218-5102c294b45c	1	199143396	217968787	13058	0.3056
4fd7515b-03d6-4df3-9218-5102c294b45c	1	217968932	217969079	2	-2.3229
4fd7515b-03d6-4df3-9218-5102c294b45c	1	217969477	248930189	21377	0.3034
4fd7515b-03d6-4df3-9218-5102c294b45c	2	12784	34427804	24081	0.0866
4fd7515b-03d6-4df3-9218-5102c294b45c	2	34434869	34517969	65	0.5143
4fd7515b-03d6-4df3-9218-5102c294b45c	2	34521390	77168024	28989	0.0954
4fd7515b-03d6-4df3-9218-5102c294b45c	2	77168512	78728212	934	-0.0506
4fd7515b-03d6-4df3-9218-5102c294b45c	2	78728668	89960252	5892	0.0772
4fd7515b-03d6-4df3-9218-5102c294b45c	2	89963133	90228237	119	-0.6567
4fd7515b-03d6-4df3-9218-5102c294b45c	2	90228255	132528129	21654	-0.1677
4fd7515b-03d6-4df3-9218-5102c294b45c	2	132537257	132537264	2	2.2325
4fd7515b-03d6-4df3-9218-5102c294b45c	2	132537271	147588045	9461	-0.1819
4fd7515b-03d6-4df3-9218-5102c294b45c	2	147588480	234633494	53661	-0.1593
4fd7515b-03d6-4df3-9218-5102c294b45c	2	234633745	241841244	4476	-0.2043
4fd7515b-03d6-4df3-9218-5102c294b45c	2	241973315	242147305	128	-0.7864
4fd7515b-03d6-4df3-9218-5102c294b45c	3	20930	374882	336	0.0127
4fd7515b-03d6-4df3-9218-5102c294b45c	3	375260	65203644	44979	-0.0415
4fd7515b-03d6-4df3-9218-5102c294b45c	3	65203772	65214027	29	-0.7785
4fd7515b-03d6-4df3-9218-5102c294b45c	3	65214192	68675541	2442	-0.0303
4fd7515b-03d6-4df3-9218-5102c294b45c	3	68676600	68700090	25	0.5458
4fd7515b-03d6-4df3-9218-5102c294b45c	3	68700106	89319142	12591	-0.0447
4fd7515b-03d6-4df3-9218-5102c294b45c	3	89319479	131740231	23078	0.0471
4fd7515b-03d6-4df3-9218-5102c294b45c	3	131740303	158477221	16579	0.0723
4fd7515b-03d6-4df3-9218-5102c294b45c	3	158480499	167284625	5216	0.0435
4fd7515b-03d6-4df3-9218-5102c294b45c	3	167286035	170604482	2004	0.1193
4fd7515b-03d6-4df3-9218-5102c294b45c	3	170604858	174595653	2619	0.055
4fd7515b-03d6-4df3-9218-5102c294b45c	3	174596152	174922478	213	-0.2398
4fd7515b-03d6-4df3-9218-5102c294b45c	3	174927526	175019814	63	-0.7345
4fd7515b-03d6-4df3-9218-5102c294b45c	3	175019899	175193829	121	-0.3617
4fd7515b-03d6-4df3-9218-5102c294b45c	3	175195806	175715918	443	0.0235
4fd7515b-03d6-4df3-9218-5102c294b45c	3	175716495	176215159	295	0.2811
4fd7515b-03d6-4df3-9218-5102c294b45c	3	176216825	193162798	10970	0.0532
4fd7515b-03d6-4df3-9218-5102c294b45c	3	193162937	193163053	3	-2.1836
4fd7515b-03d6-4df3-9218-5102c294b45c	3	193164615	198169247	2701	0.0639
4fd7515b-03d6-4df3-9218-5102c294b45c	4	68929	1041640	347	-0.1424
4fd7515b-03d6-4df3-9218-5102c294b45c	4	1051323	1051383	2	1.9389
4fd7515b-03d6-4df3-9218-5102c294b45c	4	1051535	9450197	4803	-0.1223
4fd7515b-03d6-4df3-9218-5102c294b45c	4	9455251	9477560	6	1.5956
4fd7515b-03d6-4df3-9218-5102c294b45c	4	9477699	10227652	553	-0.1176
4fd7515b-03d6-4df3-9218-5102c294b45c	4	10227668	10232984	19	0.676
4fd7515b-03d6-4df3-9218-5102c294b45c	4	10233383	13269330	2511	-0.0914
4fd7515b-03d6-4df3-9218-5102c294b45c	4	13269362	13275301	10	-1.0249
4fd7515b-03d6-4df3-9218-5102c294b45c	4	13275456	34784878	14453	-0.1019
4fd7515b-03d6-4df3-9218-5102c294b45c	4	34785333	34817589	34	-1.8215
4fd7515b-03d6-4df3-9218-5102c294b45c	4	34819718	90141341	32843	-0.0877
4fd7515b-03d6-4df3-9218-5102c294b45c	4	90142552	90503866	212	-0.409
4fd7515b-03d6-4df3-9218-5102c294b45c	4	90505709	90809174	189	-0.074
4fd7515b-03d6-4df3-9218-5102c294b45c	4	90819399	90931589	53	-0.4449
4fd7515b-03d6-4df3-9218-5102c294b45c	4	90931644	111376705	12064	-0.0863
4fd7515b-03d6-4df3-9218-5102c294b45c	4	111384346	111384623	4	-1.546
4fd7515b-03d6-4df3-9218-5102c294b45c	4	111384670	114252500	1851	-0.0648
4fd7515b-03d6-4df3-9218-5102c294b45c	4	114252544	114263154	28	0.5289
4fd7515b-03d6-4df3-9218-5102c294b45c	4	114263166	171447380	34638	-0.0874
4fd7515b-03d6-4df3-9218-5102c294b45c	4	171448195	171456625	13	1.4609
4fd7515b-03d6-4df3-9218-5102c294b45c	4	171459220	172065874	388	-0.064
4fd7515b-03d6-4df3-9218-5102c294b45c	4	172066242	172074828	22	0.6421
4fd7515b-03d6-4df3-9218-5102c294b45c	4	172075742	174870177	1574	-0.0799
4fd7515b-03d6-4df3-9218-5102c294b45c	4	174871369	190106768	10488	-0.2583
4fd7515b-03d6-4df3-9218-5102c294b45c	5	15532	12785150	10185	0.0593
4fd7515b-03d6-4df3-9218-5102c294b45c	5	12790757	12857021	20	0.9945
4fd7515b-03d6-4df3-9218-5102c294b45c	5	12857227	17513301	3170	0.0698
4fd7515b-03d6-4df3-9218-5102c294b45c	5	17515692	17655029	21	-0.8264
4fd7515b-03d6-4df3-9218-5102c294b45c	5	17662996	42273253	15534	0.0692
4fd7515b-03d6-4df3-9218-5102c294b45c	5	42274303	42276367	3	2.0211
4fd7515b-03d6-4df3-9218-5102c294b45c	5	42277189	46271006	1740	0.0727
4fd7515b-03d6-4df3-9218-5102c294b45c	5	46271828	46273400	6	-1.5737
4fd7515b-03d6-4df3-9218-5102c294b45c	5	46278110	56185985	3711	-0.1965
4fd7515b-03d6-4df3-9218-5102c294b45c	5	56186572	58025819	1356	-0.2635
4fd7515b-03d6-4df3-9218-5102c294b45c	5	58030200	58037466	30	0.7553
4fd7515b-03d6-4df3-9218-5102c294b45c	5	58037688	59801097	1381	-0.2648
4fd7515b-03d6-4df3-9218-5102c294b45c	5	59806934	59906460	73	-0.6581
4fd7515b-03d6-4df3-9218-5102c294b45c	5	59907309	110846397	29372	-0.2522
4fd7515b-03d6-4df3-9218-5102c294b45c	5	110848199	116031070	3777	-0.1932
4fd7515b-03d6-4df3-9218-5102c294b45c	5	116032337	116034614	2	-3.386
4fd7515b-03d6-4df3-9218-5102c294b45c	5	116035385	130741345	9608	-0.1819
4fd7515b-03d6-4df3-9218-5102c294b45c	5	130742921	152317705	13506	-0.0342
4fd7515b-03d6-4df3-9218-5102c294b45c	5	152317879	152319483	2	-2.3264
4fd7515b-03d6-4df3-9218-5102c294b45c	5	152320008	172240274	13812	-0.0465
4fd7515b-03d6-4df3-9218-5102c294b45c	5	172240564	172243270	2	-2.5369
4fd7515b-03d6-4df3-9218-5102c294b45c	5	172244114	177771448	3512	-0.0478
4fd7515b-03d6-4df3-9218-5102c294b45c	5	177800550	177805604	3	1.9336
4fd7515b-03d6-4df3-9218-5102c294b45c	5	177827964	180953203	1797	-0.0575
4fd7515b-03d6-4df3-9218-5102c294b45c	5	180960138	180987465	11	-1.7744
4fd7515b-03d6-4df3-9218-5102c294b45c	5	180990207	181363319	175	-0.0347
4fd7515b-03d6-4df3-9218-5102c294b45c	6	149661	265143	107	0.3399
4fd7515b-03d6-4df3-9218-5102c294b45c	6	267622	382559	96	-0.0053
4fd7515b-03d6-4df3-9218-5102c294b45c	6	382897	27554595	20357	0.3317
4fd7515b-03d6-4df3-9218-5102c294b45c	6	27559505	27712791	96	0.1021
4fd7515b-03d6-4df3-9218-5102c294b45c	6	27720590	29906932	1026	0.3292
4fd7515b-03d6-4df3-9218-5102c294b45c	6	29907031	29931120	8	-0.7276
4fd7515b-03d6-4df3-9218-5102c294b45c	6	29931900	32485152	1160	0.3584
4fd7515b-03d6-4df3-9218-5102c294b45c	6	32486498	32540699	16	2.0747
4fd7515b-03d6-4df3-9218-5102c294b45c	6	32541506	32723053	93	0.7127
4fd7515b-03d6-4df3-9218-5102c294b45c	6	32732907	54066582	13659	0.3357
4fd7515b-03d6-4df3-9218-5102c294b45c	6	54066621	54070550	4	-1.1957
4fd7515b-03d6-4df3-9218-5102c294b45c	6	54070617	58126421	2089	0.3315
4fd7515b-03d6-4df3-9218-5102c294b45c	6	58126776	60739315	243	0.0774
4fd7515b-03d6-4df3-9218-5102c294b45c	6	60739693	60746457	7	0.7914
4fd7515b-03d6-4df3-9218-5102c294b45c	6	60749069	78259348	10823	-0.1427
4fd7515b-03d6-4df3-9218-5102c294b45c	6	78259388	78336944	120	0.3048
4fd7515b-03d6-4df3-9218-5102c294b45c	6	78341897	85445938	4566	-0.1387
4fd7515b-03d6-4df3-9218-5102c294b45c	6	85451551	85656074	85	-0.4717
4fd7515b-03d6-4df3-9218-5102c294b45c	6	85660918	156931529	45443	-0.1385
4fd7515b-03d6-4df3-9218-5102c294b45c	6	156933953	159241154	1327	-0.2138
4fd7515b-03d6-4df3-9218-5102c294b45c	6	159241315	161860340	1978	-0.14
4fd7515b-03d6-4df3-9218-5102c294b45c	6	161860365	162537688	589	-0.441
4fd7515b-03d6-4df3-9218-5102c294b45c	6	162537819	168155667	3966	-0.1757
4fd7515b-03d6-4df3-9218-5102c294b45c	6	168156940	168158833	3	-2.6255
4fd7515b-03d6-4df3-9218-5102c294b45c	6	168165127	170741917	1700	-0.1872
4fd7515b-03d6-4df3-9218-5102c294b45c	7	43355	54318819	38490	0.2669
4fd7515b-03d6-4df3-9218-5102c294b45c	7	54318821	54318824	2	3.9261
4fd7515b-03d6-4df3-9218-5102c294b45c	7	54325795	62701896	2133	0.2516
4fd7515b-03d6-4df3-9218-5102c294b45c	7	62720732	109793728	26305	0.1174
4fd7515b-03d6-4df3-9218-5102c294b45c	7	109793741	109800862	20	0.8396
4fd7515b-03d6-4df3-9218-5102c294b45c	7	109800863	109834003	41	0.2639
4fd7515b-03d6-4df3-9218-5102c294b45c	7	109834473	111453897	1088	0.0394
4fd7515b-03d6-4df3-9218-5102c294b45c	7	111461486	111561897	50	-0.2933
4fd7515b-03d6-4df3-9218-5102c294b45c	7	111565751	134100442	13578	0.0764
4fd7515b-03d6-4df3-9218-5102c294b45c	7	134100458	134113314	28	0.5959
4fd7515b-03d6-4df3-9218-5102c294b45c	7	134113356	142063324	5198	0.08
4fd7515b-03d6-4df3-9218-5102c294b45c	7	142069843	142088099	26	-0.6207
4fd7515b-03d6-4df3-9218-5102c294b45c	7	142088173	159334314	10871	0.0587
4fd7515b-03d6-4df3-9218-5102c294b45c	8	81254	35117091	28234	0.0047
4fd7515b-03d6-4df3-9218-5102c294b45c	8	35118610	35244455	71	0.6659
4fd7515b-03d6-4df3-9218-5102c294b45c	8	35250447	50119451	6839	-0.0015
4fd7515b-03d6-4df3-9218-5102c294b45c	8	50119464	50119827	7	-1.2794
4fd7515b-03d6-4df3-9218-5102c294b45c	8	50126018	50296522	128	-0.085
4fd7515b-03d6-4df3-9218-5102c294b45c	8	50296960	139108917	57080	0.0043
4fd7515b-03d6-4df3-9218-5102c294b45c	8	139108993	145072769	3129	-0.0509
4fd7515b-03d6-4df3-9218-5102c294b45c	9	46587	39110889	31099	-0.3368
4fd7515b-03d6-4df3-9218-5102c294b45c	9	39134929	61557822	258	-0.0787
4fd7515b-03d6-4df3-9218-5102c294b45c	9	61561095	61633080	14	-1.3418
4fd7515b-03d6-4df3-9218-5102c294b45c	9	61647899	67915741	167	0.0784
4fd7515b-03d6-4df3-9218-5102c294b45c	9	68318441	90858681	16225	-0.3407
4fd7515b-03d6-4df3-9218-5102c294b45c	9	90858709	90865019	9	0.7887
4fd7515b-03d6-4df3-9218-5102c294b45c	9	90867227	95487805	2976	-0.356
4fd7515b-03d6-4df3-9218-5102c294b45c	9	95487916	95488676	5	1.1895
4fd7515b-03d6-4df3-9218-5102c294b45c	9	95491372	110198272	10582	-0.3356
4fd7515b-03d6-4df3-9218-5102c294b45c	9	110199505	110219729	16	-1.0739
4fd7515b-03d6-4df3-9218-5102c294b45c	9	110220784	135334696	16915	-0.3361
4fd7515b-03d6-4df3-9218-5102c294b45c	9	135334785	135335019	3	1.6565
4fd7515b-03d6-4df3-9218-5102c294b45c	9	135335157	138109553	1023	-0.3373
4fd7515b-03d6-4df3-9218-5102c294b45c	9	138110039	138200944	55	0.1054
4fd7515b-03d6-4df3-9218-5102c294b45c	10	45792	24088746	19169	-0.1888
