GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
ddad0efb-c94a-49b0-b4c8-5bbc44e27e31	1	3301765	11461181	4683	-0.0028
ddad0efb-c94a-49b0-b4c8-5bbc44e27e31	1	11462004	11466839	8	-1.0479
ddad0efb-c94a-49b0-b4c8-5bbc44e27e31	1	11467247	12294250	426	0.0324
ddad0efb-c94a-49b0-b4c8-5bbc44e27e31	1	12295430	12295446	2	-1.7514
ddad0efb-c94a-49b0-b4c8-5bbc44e27e31	1	12297031	106860406	54927	0.0021
ddad0efb-c94a-49b0-b4c8-5bbc44e27e31	1	106860447	106860607	4	-1.2074
ddad0efb-c94a-49b0-b4c8-5bbc44e27e31	1	106862309	116287675	5885	0.0032
ddad0efb-c94a-49b0-b4c8-5bbc44e27e31	1	116289270	116291483	7	-0.9006
ddad0efb-c94a-49b0-b4c8-5bbc44e27e31	1	116295203	157953381	6194	0.0032
ddad0efb-c94a-49b0-b4c8-5bbc44e27e31	1	157954382	157960231	4	-0.8962
ddad0efb-c94a-49b0-b4c8-5bbc44e27e31	1	157962207	171462672	9555	0.0042
ddad0efb-c94a-49b0-b4c8-5bbc44e27e31	1	171462927	171465297	3	-1.8156
ddad0efb-c94a-49b0-b4c8-5bbc44e27e31	1	171465502	202327665	18710	0.0012
ddad0efb-c94a-49b0-b4c8-5bbc44e27e31	1	202328754	202329333	3	-1.056
ddad0efb-c94a-49b0-b4c8-5bbc44e27e31	1	202329957	208933002	4314	0.008
ddad0efb-c94a-49b0-b4c8-5bbc44e27e31	1	208934193	208993222	44	0.5522
ddad0efb-c94a-49b0-b4c8-5bbc44e27e31	1	208998226	247650984	25033	0.0015
ddad0efb-c94a-49b0-b4c8-5bbc44e27e31	2	480597	62502539	36801	0.0047
ddad0efb-c94a-49b0-b4c8-5bbc44e27e31	2	62514032	62533097	13	-1.0268
ddad0efb-c94a-49b0-b4c8-5bbc44e27e31	2	62537112	241537572	95445	0.0048
ddad0efb-c94a-49b0-b4c8-5bbc44e27e31	3	2170634	30149632	16691	0.0023
ddad0efb-c94a-49b0-b4c8-5bbc44e27e31	3	30151053	30151074	2	-1.5409
ddad0efb-c94a-49b0-b4c8-5bbc44e27e31	3	30151286	62624382	18115	0.0059
ddad0efb-c94a-49b0-b4c8-5bbc44e27e31	3	62624950	62626520	2	-1.2843
ddad0efb-c94a-49b0-b4c8-5bbc44e27e31	3	62626605	116804449	29193	0.0025
ddad0efb-c94a-49b0-b4c8-5bbc44e27e31	3	116804601	116805056	4	-1.1377
ddad0efb-c94a-49b0-b4c8-5bbc44e27e31	3	116808382	122212127	3047	0.0038
ddad0efb-c94a-49b0-b4c8-5bbc44e27e31	3	122212609	122213735	3	-1.0578
ddad0efb-c94a-49b0-b4c8-5bbc44e27e31	3	122214219	145825491	13385	0.0049
ddad0efb-c94a-49b0-b4c8-5bbc44e27e31	3	145828458	145839243	3	-1.0892
ddad0efb-c94a-49b0-b4c8-5bbc44e27e31	3	145841636	197812401	26785	0.0008
ddad0efb-c94a-49b0-b4c8-5bbc44e27e31	4	1059384	91829294	51250	-0.0008
ddad0efb-c94a-49b0-b4c8-5bbc44e27e31	4	91831321	91837838	7	-0.8856
ddad0efb-c94a-49b0-b4c8-5bbc44e27e31	4	91842788	133059419	22585	-0.0024
ddad0efb-c94a-49b0-b4c8-5bbc44e27e31	4	133059441	133059790	3	-1.2389
ddad0efb-c94a-49b0-b4c8-5bbc44e27e31	4	133064897	145980649	7043	-0.0037
ddad0efb-c94a-49b0-b4c8-5bbc44e27e31	4	145981322	145981791	2	-1.5703
ddad0efb-c94a-49b0-b4c8-5bbc44e27e31	4	145983213	152209582	3412	-0.0023
ddad0efb-c94a-49b0-b4c8-5bbc44e27e31	4	152213807	152213876	2	-1.9627
ddad0efb-c94a-49b0-b4c8-5bbc44e27e31	4	152215928	168583035	9271	-0.0003
ddad0efb-c94a-49b0-b4c8-5bbc44e27e31	4	168586930	168587277	2	-1.3183
ddad0efb-c94a-49b0-b4c8-5bbc44e27e31	4	168590354	187842528	9960	0.0003
ddad0efb-c94a-49b0-b4c8-5bbc44e27e31	5	913983	180934240	101164	0.0008
ddad0efb-c94a-49b0-b4c8-5bbc44e27e31	6	1011760	22163932	14959	0.0045
ddad0efb-c94a-49b0-b4c8-5bbc44e27e31	6	22166956	22172387	2	-1.3333
ddad0efb-c94a-49b0-b4c8-5bbc44e27e31	6	22174038	71544599	24594	0.0012
ddad0efb-c94a-49b0-b4c8-5bbc44e27e31	6	71544988	71566964	3	-1.819
ddad0efb-c94a-49b0-b4c8-5bbc44e27e31	6	71567348	72099952	380	-0.0121
ddad0efb-c94a-49b0-b4c8-5bbc44e27e31	6	72099967	72100283	6	0.6217
ddad0efb-c94a-49b0-b4c8-5bbc44e27e31	6	72104181	72347296	130	-0.0076
ddad0efb-c94a-49b0-b4c8-5bbc44e27e31	6	72347941	72347968	2	-1.3211
ddad0efb-c94a-49b0-b4c8-5bbc44e27e31	6	72351286	170596889	57134	-0.0014
ddad0efb-c94a-49b0-b4c8-5bbc44e27e31	7	664936	97516291	49848	0.0016
ddad0efb-c94a-49b0-b4c8-5bbc44e27e31	7	97516818	97517291	3	-1.2236
ddad0efb-c94a-49b0-b4c8-5bbc44e27e31	7	97518208	158592540	32117	0.0027
ddad0efb-c94a-49b0-b4c8-5bbc44e27e31	8	667625	5089371	2415	0.0051
ddad0efb-c94a-49b0-b4c8-5bbc44e27e31	8	5095927	5096433	2	-1.9246
ddad0efb-c94a-49b0-b4c8-5bbc44e27e31	8	5097091	78954193	41362	0.0028
