GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
27b8205a-f44d-4f8d-ba6d-3172bb87beab	1	62920	21971792	11654	-0.0143
27b8205a-f44d-4f8d-ba6d-3172bb87beab	1	21974705	22015896	14	-0.9859
27b8205a-f44d-4f8d-ba6d-3172bb87beab	1	22017709	34626073	6620	-0.005
27b8205a-f44d-4f8d-ba6d-3172bb87beab	1	34637053	34638890	20	-1.8835
27b8205a-f44d-4f8d-ba6d-3172bb87beab	1	34648667	72290430	22602	0.0023
27b8205a-f44d-4f8d-ba6d-3172bb87beab	1	72290459	72339279	41	0.4413
27b8205a-f44d-4f8d-ba6d-3172bb87beab	1	72339814	105476583	19875	0.0079
27b8205a-f44d-4f8d-ba6d-3172bb87beab	1	105476614	105479753	15	0.7071
27b8205a-f44d-4f8d-ba6d-3172bb87beab	1	105481433	108223733	1839	0.0203
27b8205a-f44d-4f8d-ba6d-3172bb87beab	1	108226680	108274557	2	-2.982
27b8205a-f44d-4f8d-ba6d-3172bb87beab	1	108310648	109690431	645	-0.0127
27b8205a-f44d-4f8d-ba6d-3172bb87beab	1	109690640	109697556	8	-1.871
27b8205a-f44d-4f8d-ba6d-3172bb87beab	1	109702376	144442092	6917	0.0138
27b8205a-f44d-4f8d-ba6d-3172bb87beab	1	144442098	144503849	10	-0.7846
27b8205a-f44d-4f8d-ba6d-3172bb87beab	1	144503864	152583051	2182	0.0082
27b8205a-f44d-4f8d-ba6d-3172bb87beab	1	152583230	152614064	30	-1.5799
27b8205a-f44d-4f8d-ba6d-3172bb87beab	1	152614100	182162159	18958	0.0035
27b8205a-f44d-4f8d-ba6d-3172bb87beab	1	182162405	182162498	2	-3.1784
27b8205a-f44d-4f8d-ba6d-3172bb87beab	1	182162822	196745692	9104	0.0035
27b8205a-f44d-4f8d-ba6d-3172bb87beab	1	196745743	196830375	52	0.325
27b8205a-f44d-4f8d-ba6d-3172bb87beab	1	196832298	216548748	12620	0.0069
27b8205a-f44d-4f8d-ba6d-3172bb87beab	1	216548986	216549045	2	2.2634
27b8205a-f44d-4f8d-ba6d-3172bb87beab	1	216549280	238609685	14568	0.004
27b8205a-f44d-4f8d-ba6d-3172bb87beab	1	238609980	238612315	3	-1.7962
27b8205a-f44d-4f8d-ba6d-3172bb87beab	1	238612525	248930189	6735	0.0112
27b8205a-f44d-4f8d-ba6d-3172bb87beab	2	12784	46262993	31193	0.0158
27b8205a-f44d-4f8d-ba6d-3172bb87beab	2	46263662	46265133	2	-2.3477
27b8205a-f44d-4f8d-ba6d-3172bb87beab	2	46265543	52527330	4050	0.0293
27b8205a-f44d-4f8d-ba6d-3172bb87beab	2	52527342	52554404	38	1.045
27b8205a-f44d-4f8d-ba6d-3172bb87beab	2	52560811	97359885	22685	0.0146
27b8205a-f44d-4f8d-ba6d-3172bb87beab	2	97524284	97545247	8	1.7552
27b8205a-f44d-4f8d-ba6d-3172bb87beab	2	97545726	207490231	63150	0.0146
27b8205a-f44d-4f8d-ba6d-3172bb87beab	2	207490454	207494301	14	0.847
27b8205a-f44d-4f8d-ba6d-3172bb87beab	2	207494425	231587213	14716	0.0117
27b8205a-f44d-4f8d-ba6d-3172bb87beab	2	231589651	231590943	2	-1.9947
27b8205a-f44d-4f8d-ba6d-3172bb87beab	2	231591302	242147305	6309	0.0102
27b8205a-f44d-4f8d-ba6d-3172bb87beab	3	20930	2826366	2286	0.077
27b8205a-f44d-4f8d-ba6d-3172bb87beab	3	2829270	68697013	43093	0.0092
27b8205a-f44d-4f8d-ba6d-3172bb87beab	3	68697108	68698262	14	-1.4225
27b8205a-f44d-4f8d-ba6d-3172bb87beab	3	68699607	84645221	9463	0.0127
27b8205a-f44d-4f8d-ba6d-3172bb87beab	3	84649532	84653312	20	-0.5285
27b8205a-f44d-4f8d-ba6d-3172bb87beab	3	84657133	99218940	5698	0.015
27b8205a-f44d-4f8d-ba6d-3172bb87beab	3	99225614	99226551	15	0.5562
27b8205a-f44d-4f8d-ba6d-3172bb87beab	3	99226566	99230212	11	1.4644
27b8205a-f44d-4f8d-ba6d-3172bb87beab	3	99230232	130067896	17823	0.0087
27b8205a-f44d-4f8d-ba6d-3172bb87beab	3	130067910	130087393	27	0.5778
27b8205a-f44d-4f8d-ba6d-3172bb87beab	3	130088081	147278513	10232	0.0136
27b8205a-f44d-4f8d-ba6d-3172bb87beab	3	147279222	147282654	2	-2.1082
27b8205a-f44d-4f8d-ba6d-3172bb87beab	3	147282883	162815162	9079	0.0196
27b8205a-f44d-4f8d-ba6d-3172bb87beab	3	162816942	162822685	5	-1.7559
27b8205a-f44d-4f8d-ba6d-3172bb87beab	3	162827928	198169247	20916	0.0152
27b8205a-f44d-4f8d-ba6d-3172bb87beab	4	68929	34777238	21676	0.0089
27b8205a-f44d-4f8d-ba6d-3172bb87beab	4	34777340	34839673	54	0.517
27b8205a-f44d-4f8d-ba6d-3172bb87beab	4	34839742	46706018	7143	0.0136
27b8205a-f44d-4f8d-ba6d-3172bb87beab	4	46708343	46708955	2	-2.1685
27b8205a-f44d-4f8d-ba6d-3172bb87beab	4	46709884	68394833	11327	0.0124
27b8205a-f44d-4f8d-ba6d-3172bb87beab	4	68395346	68422422	5	-1.2504
27b8205a-f44d-4f8d-ba6d-3172bb87beab	4	68422424	68468423	7	-0.0684
27b8205a-f44d-4f8d-ba6d-3172bb87beab	4	68472744	68618391	66	0.504
27b8205a-f44d-4f8d-ba6d-3172bb87beab	4	68620122	180899065	64892	0.011
27b8205a-f44d-4f8d-ba6d-3172bb87beab	4	180899306	180901538	2	-2.3112
27b8205a-f44d-4f8d-ba6d-3172bb87beab	4	180903123	189267889	5748	0.0094
27b8205a-f44d-4f8d-ba6d-3172bb87beab	4	189273964	189278110	4	-2.5385
27b8205a-f44d-4f8d-ba6d-3172bb87beab	4	189278617	190106768	340	0.0309
27b8205a-f44d-4f8d-ba6d-3172bb87beab	5	15532	12800777	9709	0.0062
27b8205a-f44d-4f8d-ba6d-3172bb87beab	5	12815668	12838421	14	-0.8658
27b8205a-f44d-4f8d-ba6d-3172bb87beab	5	12849089	46251204	19448	0.0138
