GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
3fde71a8-7e13-491b-b2ff-f567c8c7c1d7	1	3301765	5778713	1784	-0.0563
3fde71a8-7e13-491b-b2ff-f567c8c7c1d7	1	5784742	11026840	2669	0.0282
3fde71a8-7e13-491b-b2ff-f567c8c7c1d7	1	11030221	14991903	2137	-0.0404
3fde71a8-7e13-491b-b2ff-f567c8c7c1d7	1	14996773	17796966	1236	0.0512
3fde71a8-7e13-491b-b2ff-f567c8c7c1d7	1	17797462	19256867	1110	-0.0493
3fde71a8-7e13-491b-b2ff-f567c8c7c1d7	1	19257510	29306088	4878	0.0176
3fde71a8-7e13-491b-b2ff-f567c8c7c1d7	1	29306929	30656261	1009	-0.0603
3fde71a8-7e13-491b-b2ff-f567c8c7c1d7	1	30656396	30843182	51	0.0579
3fde71a8-7e13-491b-b2ff-f567c8c7c1d7	1	30844026	30844683	2	-2.216
3fde71a8-7e13-491b-b2ff-f567c8c7c1d7	1	30845286	35059419	2253	0.0059
3fde71a8-7e13-491b-b2ff-f567c8c7c1d7	1	35059744	40584821	2846	-0.0468
3fde71a8-7e13-491b-b2ff-f567c8c7c1d7	1	40585280	47277104	3571	0.0254
3fde71a8-7e13-491b-b2ff-f567c8c7c1d7	1	47277517	48103286	608	0.1572
3fde71a8-7e13-491b-b2ff-f567c8c7c1d7	1	48104794	48523540	203	0.0606
3fde71a8-7e13-491b-b2ff-f567c8c7c1d7	1	48529779	52660529	1883	-0.005
3fde71a8-7e13-491b-b2ff-f567c8c7c1d7	1	52660566	57468534	3449	0.0483
3fde71a8-7e13-491b-b2ff-f567c8c7c1d7	1	57469091	58121939	569	-0.0319
3fde71a8-7e13-491b-b2ff-f567c8c7c1d7	1	58124401	67517788	6617	0.0515
3fde71a8-7e13-491b-b2ff-f567c8c7c1d7	1	67525047	67845305	263	0.1754
3fde71a8-7e13-491b-b2ff-f567c8c7c1d7	1	67847455	83896873	9256	0.0211
3fde71a8-7e13-491b-b2ff-f567c8c7c1d7	1	83897923	89093877	3441	0.0681
3fde71a8-7e13-491b-b2ff-f567c8c7c1d7	1	89094685	90160212	621	0.0085
3fde71a8-7e13-491b-b2ff-f567c8c7c1d7	1	90160279	90160484	2	-1.8133
3fde71a8-7e13-491b-b2ff-f567c8c7c1d7	1	90165126	94364728	2404	0.0333
